"num","title","persent","difficulty"
1262,"可被三整除的最大和","51%","中等"
901,"股票价格跨度","51%","中等"
452,"用最少数量的箭引爆气球","51%","中等"
1052,"爱生气的书店老板","51%","中等"
994,"腐烂的橘子","51%","中等"
738,"单调递增的数字","50%","中等"
388,"文件的最长绝对路径","50%","中等"
785,"判断二分图","50%","中等"
688,"“马”在棋盘上的概率","50%","中等"
1116,"打印零与奇偶数","50%","中等"
380,"常数时间插入、删除和获取随机元素","50%","中等"
1049,"最后一块石头的重量 II","50%","中等"
1376,"通知所有员工所需的时间","50%","中等"
416,"分割等和子集","49%","中等"
611,"有效三角形的个数","49%","中等"
435,"无重叠区间","49%","中等"
438,"找到字符串中所有字母异位词","49%","中等"
319,"灯泡开关","49%","中等"
822,"翻转卡片游戏","49%","中等"
945,"使数组唯一的最小增量","48%","中等"
316,"去除重复字母","48%","中等"
490,"迷宫","47%","中等"
1205,"每月交易II","47%","中等"
767,"重构字符串","47%","中等"
304,"二维区域和检索 - 矩阵不可变","47%","中等"
1162,"地图分析","47%","中等"
743,"网络延迟时间","47%","中等"
1139,"最大的以 1 为边界的正方形","46%","中等"
528,"按权重随机选择","46%","中等"
390,"消除游戏","46%","中等"
395,"至少有K个重复字符的最长子串","46%","中等"
450,"删除二叉搜索树中的节点","46%","中等"
974,"和可被 K 整除的子数组","46%","中等"
1171,"从链表中删去总和值为零的连续节点","46%","中等"
469,"凸多边形","45%","中等"
542,"01 矩阵","45%","中等"
560,"和为K的子数组","45%","中等"
494,"目标和","45%","中等"
525,"连续数组","45%","中等"
417,"太平洋大西洋水流问题","44%","中等"
658,"找到 K 个最接近的元素","44%","中等"
698,"划分为k个相等的子集","44%","中等"
1048,"最长字符串链","44%","中等"
332,"重新安排行程","44%","中等"
1027,"最长等差数列","44%","中等"
1131,"绝对值表达式的最大值","44%","中等"
593,"有效的正方形","44%","中等"
1057,"校园自行车分配","44%","中等"
377,"组合总和 Ⅳ","44%","中等"
373,"查找和最小的K对数字","43%","中等"
792,"匹配子序列的单词数","43%","中等"
1352,"最后 K 个数的乘积","43%","中等"
916,"单词子集","43%","中等"
498,"对角线遍历","43%","中等"
634,"寻找数组的错位排列","43%","中等"
670,"最大交换","43%","中等"
904,"水果成篮","43%","中等"
978,"最长湍流子数组","43%","中等"
467,"环绕字符串中唯一的子字符串","43%","中等"
322,"零钱兑换","43%","中等"
687,"最长同值路径","43%","中等"
622,"设计循环队列","42%","中等"
754,"到达终点数字","42%","中等"
833,"字符串中的查找与替换","42%","中等"
849,"到最近的人的最大距离","42%","中等"
845,"数组中的最长山脉","42%","中等"
443,"压缩字符串","42%","中等"
640,"求解方程","42%","中等"
801,"使序列递增的最小交换次数","41%","中等"
1107,"每日新用户统计","41%","中等"
1218,"最长定差子序列","41%","中等"
1443,"收集树上所有苹果的最少时间","41%","中等"
886,"可能的二分法","41%","中等"
473,"火柴拼正方形","40%","中等"
870,"优势洗牌","40%","中等"
334,"递增的三元子序列","40%","中等"
735,"行星碰撞","40%","中等"
400,"第 N 位数字","40%","中等"
393,"UTF-8 编码验证","39%","中等"
1339,"分裂二叉树的最大乘积","39%","中等"
930,"和相同的二元子数组","39%","中等"
662,"二叉树最大宽度","39%","中等"
567,"字符串的排列","39%","中等"
948,"令牌放置","38%","中等"
576,"出界的路径数","38%","中等"
673,"最长递增子序列的个数","37%","中等"
397,"整数替换","37%","中等"
787,"K 站中转内最便宜的航班","37%","中等"
949,"给定数字能组成的最大时间","36%","中等"
1054,"距离相等的条形码","36%","中等"
532,"数组中的 k-diff 数对","36%","中等"
581,"最短无序连续子数组","36%","中等"
365,"水壶问题","35%","中等"
633,"平方数之和","35%","中等"
614,"二级关注者","35%","中等"
1197,"进击的骑士","34%","中等"
678,"有效的括号字符串","34%","中等"
625,"最小因式分解","34%","中等"
555,"分割连接字符串","34%","中等"
306,"累加数","33%","中等"
402,"移掉K位数字","33%","中等"
1234,"替换子串得到平衡字符串","33%","中等"
777,"在LR字符串中交换相邻字符","32%","中等"
475,"供暖器","32%","中等"
556,"下一个更大元素 III","31%","中等"
907,"子数组的最小值之和","30%","中等"
